episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
580, 2111.8739165067673, 1, 20.73126320600022, 187, 156694,                                             156694, 20.476266860961914, 192.19232177734375
581, 1558.0770323872566, 1, 23.637959210999725, 223, 156917,                                             156917, 18.347166061401367, 192.34971618652344
582, 1894.2911635637283, 1, 38.25172420200033, 348, 157265,                                             157265, 20.01175880432129, 191.32003784179688
583, 1685.8682233691216, 1, 28.59778363699934, 261, 157526,                                             157526, 17.920305252075195, 190.07752990722656
584, 2165.043078482151, 1, 22.18371354499959, 192, 157718,                                             157718, 21.15668296813965, 191.99012756347656
585, 1885.1015849113464, 1, 32.83606905099987, 291, 158009,                                             158009, 19.55814552307129, 190.3092803955078
586, 1698.4915808439255, 1, 33.525641864000136, 307, 158316,                                             158316, 19.225982666015625, 189.8885040283203
587, -3091.223052442074, 3, 18.92094313799953, 173, 158489,                                             158489, 19.46290397644043, 191.45974731445312
588, 2124.3871262967587, 1, 16.628942069000004, 148, 158637,                                             158637, 18.41145133972168, 192.0350799560547
589, 1782.250853419304, 1, 37.66202176099978, 282, 158919,                                             158919, 20.16512680053711, 189.88853454589844
590, 2312.475184082985, 1, 17.314257968000675, 104, 159023,                                             159023, 20.428556442260742, 190.05963134765625
591, 1905.7596180140972, 1, 29.330894985999294, 196, 159219,                                             159219, 18.313846588134766, 190.0033416748047
592, 1993.4201538413763, 1, 44.74096638999981, 332, 159551,                                             159551, 19.907983779907227, 187.7823028564453
593, 2033.8081225156784, 1, 37.65297697099959, 249, 159800,                                             159800, 19.655550003051758, 189.0769805908203
594, 2143.402808368206, 1, 28.8741351030003, 180, 159980,                                             159980, 19.455230712890625, 187.50277709960938
595, 2267.507729679346, 1, 19.24807127999975, 139, 160119,                                             160119, 19.442054748535156, 187.8432159423828
596, 1553.2036489248276, 1, 19.93234068699985, 140, 160259,                                             160259, 19.096370697021484, 186.682373046875
597, 1864.7692558467388, 1, 37.508452821999526, 241, 160500,                                             160500, 19.568038940429688, 185.57449340820312
598, 2349.397473216057, 1, 21.090144234000036, 144, 160644,                                             160644, 19.310134887695312, 187.03497314453125
599, 1471.3608313798904, 1, 46.21366634599963, 312, 160956,                                             160956, 18.658382415771484, 186.64613342285156
600, 2141.970029294491, 1, 30.296980393999547, 213, 161169,                                             161169, 19.997150421142578, 189.74908447265625
601, 2093.0810074210167, 1, 29.600036547000855, 234, 161403,                                             161403, 19.725894927978516, 186.2166290283203
602, 1592.1310144215822, 1, 60.40301083399936, 517, 161920,                                             161920, 19.25847053527832, 186.0664825439453
603, 2026.9222218990326, 1, 19.755431587000203, 173, 162093,                                             162093, 19.575979232788086, 184.47836303710938
604, 2169.4616779386997, 1, 32.18482584999947, 291, 162384,                                             162384, 19.21615219116211, 185.76217651367188
605, 1986.8402103185654, 1, 40.339579376000074, 359, 162743,                                             162743, 19.698780059814453, 184.9833984375
606, 1868.7689310908318, 1, 41.7836645819998, 378, 163121,                                             163121, 18.216833114624023, 183.3563232421875
607, 1804.0393551588058, 1, 31.23747680299948, 272, 163393,                                             163393, 18.2731876373291, 183.96461486816406
608, 2263.639362037182, 1, 14.061133856000197, 119, 163512,                                             163512, 17.517333984375, 182.21990966796875
609, 1631.807913184166, 1, 39.880600505000075, 332, 163844,                                             163844, 18.922048568725586, 183.33447265625
610, 1154.449343264103, 1, 46.137888510000266, 404, 164248,                                             164248, 19.492591857910156, 182.80172729492188
611, 2054.921817868948, 1, 29.340028134000022, 257, 164505,                                             164505, 18.63230323791504, 180.95562744140625
612, 818.4185779988766, 1, 29.36988147000011, 250, 164755,                                             164755, 18.68998908996582, 182.22853088378906
613, 2032.2577611207962, 1, 27.870887973000208, 226, 164981,                                             164981, 19.202146530151367, 182.50160217285156
614, 1502.8457352817059, 1, 35.08517071700044, 268, 165249,                                             165249, 18.986812591552734, 180.39793395996094
615, -3184.955521941185, 3, 13.404913004000264, 104, 165353,                                             165353, 18.359615325927734, 180.1112518310547
616, 2023.4901963472366, 1, 24.620937379999305, 218, 165571,                                             165571, 18.73703956604004, 181.76756286621094
617, 2027.409432142973, 1, 41.64056892899953, 326, 165897,                                             165897, 18.221681594848633, 181.68551635742188
618, 1689.1005144417286, 1, 69.16623497100045, 332, 166229,                                             166229, 19.343791961669922, 180.741943359375
619, 1980.31244713068, 1, 47.16809751599976, 234, 166463,                                             166463, 19.082538604736328, 182.09963989257812
620, 1804.217858105898, 1, 37.19330926800012, 231, 166694,                                             166694, 17.954565048217773, 183.92138671875
621, 2088.4934087991714, 1, 39.33606022499953, 233, 166927,                                             166927, 19.308982849121094, 179.9075927734375
622, 1950.8636396229267, 1, 32.66600600000038, 369, 167296,                                             167296, 18.56125831604004, 181.0647430419922
623, 1873.0284348726273, 1, 24.220473822000713, 287, 167583,                                             167583, 19.77933692932129, 180.91383361816406
624, 2132.4787358641624, 1, 20.0990350510001, 249, 167832,                                             167832, 18.477800369262695, 179.39002990722656
625, 1605.5086765885353, 1, 18.657972912999867, 236, 168068,                                             168068, 18.581523895263672, 179.27029418945312
626, 1910.360014691949, 1, 13.692222544999822, 160, 168228,                                             168228, 18.18410301208496, 178.68186950683594
627, 1163.8655247986317, 1, 38.32690800099954, 509, 168737,                                             168737, 19.0679931640625, 179.04933166503906
628, 1788.1607482135296, 1, 31.801971334999507, 421, 169158,                                             169158, 18.742868423461914, 178.465576171875
629, 1932.3541421294212, 1, 20.32136530600019, 249, 169407,                                             169407, 18.261497497558594, 178.31260681152344
630, 2200.976878464222, 1, 14.881620779999139, 188, 169595,                                             169595, 19.622943878173828, 178.5625457763672
631, 1188.8728623390198, 1, 20.797363180000502, 267, 169862,                                             169862, 18.643217086791992, 177.3555908203125
632, 2206.6359735131264, 1, 14.131184515000314, 186, 170048,                                             170048, 17.940757751464844, 177.41159057617188
633, 2216.172105550766, 1, 10.994625231999635, 123, 170171,                                             170171, 19.33358383178711, 176.71156311035156
634, 2256.5147372484207, 1, 16.655095570000412, 187, 170358,                                             170358, 18.12555694580078, 178.47373962402344
635, 2129.5181272923946, 1, 18.885138804000235, 224, 170582,                                             170582, 18.022205352783203, 177.24440002441406
636, 1610.5333778560162, 1, 32.00848505399972, 349, 170931,                                             170931, 18.614479064941406, 177.44764709472656
637, 2369.821400105953, 1, 9.581226317000073, 89, 171020,                                             171020, 17.576662063598633, 176.1693115234375
638, 2196.3758419156075, 1, 18.7981333000007, 221, 171241,                                             171241, 16.210302352905273, 173.61050415039062
639, -2504.740749835968, 2, 9.040538430000197, 111, 171352,                                             171352, 19.08704948425293, 176.6293487548828
640, 1956.3485897183418, 1, 15.245493841999632, 178, 171530,                                             171530, 19.351940155029297, 176.65318298339844
641, 1674.3773223757744, 1, 29.63131893500031, 358, 171888,                                             171888, 19.099042892456055, 176.31105041503906
642, 1724.4838733673096, 1, 34.41591103600058, 398, 172286,                                             172286, 18.590673446655273, 175.5507354736328
643, 741.7809990644455, 1, 44.5703818410002, 517, 172803,                                             172803, 18.268447875976562, 176.28482055664062
644, -2664.8380286693573, 3, 2.760661477999747, 30, 172833,                                             172833, 16.621809005737305, 170.62306213378906
645, 1923.2561938762665, 1, 26.814506839000387, 341, 173174,                                             173174, 18.705049514770508, 173.7460174560547
646, 1617.1177432835102, 1, 42.02787664300013, 461, 173635,                                             173635, 18.91275405883789, 172.98480224609375
647, 2133.091518342495, 1, 19.212009886000487, 192, 173827,                                             173827, 18.705652236938477, 175.30104064941406
648, 1065.6403162181377, 1, 25.428522870999586, 259, 174086,                                             174086, 18.669635772705078, 174.99319458007812
649, 2050.2719049453735, 1, 17.63287165699967, 187, 174273,                                             174273, 19.192893981933594, 175.2955780029297
650, 2229.041695922613, 1, 15.851392201000635, 165, 174438,                                             174438, 17.82703971862793, 175.9615478515625
651, 2123.3890270739794, 1, 27.733134064000296, 286, 174724,                                             174724, 18.851415634155273, 172.97381591796875
652, 1069.0435770750046, 1, 45.26127530300073, 521, 175245,                                             175245, 18.84208869934082, 172.67556762695312
653, 1737.924734145403, 1, 41.4172528729996, 492, 175737,                                             175737, 18.68764877319336, 172.7383575439453
654, 1068.2854731082916, 1, 48.64086746900011, 572, 176309,                                             176309, 18.26231575012207, 170.6521453857422
655, 2364.6166076660156, 1, 9.40164542599996, 111, 176420,                                             176420, 17.05902862548828, 169.85235595703125
656, 2113.7970149815083, 1, 16.469117941999684, 197, 176617,                                             176617, 18.03961753845215, 169.5142822265625
657, 2201.367136836052, 1, 16.865261965999707, 204, 176821,                                             176821, 16.786420822143555, 170.29734802246094
658, 1606.4465169012547, 1, 36.53869025899985, 444, 177265,                                             177265, 17.64436149597168, 169.35833740234375
659, 1713.5114651620388, 1, 30.51677017700058, 374, 177639,                                             177639, 18.22987937927246, 170.383056640625
660, 2323.022622525692, 1, 10.991212934000032, 139, 177778,                                             177778, 17.944711685180664, 169.17446899414062
661, 1979.9707877635956, 1, 16.323965476000012, 203, 177981,                                             177981, 18.40204620361328, 168.79188537597656
662, 1750.0506130158901, 1, 26.53360392200011, 324, 178305,                                             178305, 18.933366775512695, 170.34837341308594
663, 804.4871917665005, 1, 34.300605843000085, 369, 178674,                                             178674, 18.38644790649414, 168.29598999023438
664, 2053.781742423773, 1, 26.599933321000208, 285, 178959,                                             178959, 19.564714431762695, 168.73385620117188
665, 1712.8487499058247, 1, 22.636385267999685, 262, 179221,                                             179221, 19.120361328125, 169.61488342285156
666, 2119.4773771464825, 1, 18.493382545000713, 234, 179455,                                             179455, 18.337026596069336, 166.3850860595703
667, 1523.776419788599, 1, 15.767790211999454, 198, 179653,                                             179653, 16.547414779663086, 167.38949584960938
668, 2169.6184353381395, 1, 17.032123354999385, 207, 179860,                                             179860, 19.46030044555664, 167.5554656982422
669, 1990.1702513843775, 1, 27.742185463999704, 345, 180205,                                             180205, 18.5347900390625, 166.20108032226562
670, 1969.357958316803, 1, 26.30973506600003, 330, 180535,                                             180535, 16.96967124938965, 165.67813110351562
671, 1346.3406106829643, 1, 11.563850055999865, 148, 180683,                                             180683, 16.191320419311523, 164.28761291503906
672, 2234.1290110349655, 1, 11.615742940000018, 133, 180816,                                             180816, 19.356130599975586, 165.72903442382812
673, 2182.1696439385414, 1, 12.261427206000008, 167, 180983,                                             180983, 18.439062118530273, 166.112060546875
674, 1753.9269598126411, 1, 20.171255040999313, 246, 181229,                                             181229, 16.924232482910156, 166.06854248046875
675, 664.1067240536213, 1, 38.18292038599975, 482, 181711,                                             181711, 16.626420974731445, 165.97552490234375
676, 2094.447118282318, 1, 19.600202160999288, 233, 181944,                                             181944, 17.946632385253906, 164.9709014892578
677, 1821.0198710560799, 1, 25.166980832000263, 317, 182261,                                             182261, 16.751018524169922, 164.36148071289062
678, 2029.9613325297832, 1, 23.87489682299929, 290, 182551,                                             182551, 16.453031539916992, 166.0790252685547
679, 2175.9648362100124, 1, 14.641745554000408, 192, 182743,                                             182743, 18.7226505279541, 164.1127471923828
680, 2207.873423963785, 1, 18.697279996999896, 241, 182984,                                             182984, 19.16649055480957, 164.68899536132812
681, 1965.8244423866272, 1, 30.20104873800028, 388, 183372,                                             183372, 17.913362503051758, 165.08299255371094
682, 1030.1086657345295, 1, 36.520746088000124, 475, 183847,                                             183847, 17.700204849243164, 164.75906372070312
683, 1298.4689566791058, 1, 31.38809242000025, 395, 184242,                                             184242, 18.260717391967773, 164.74546813964844
684, 1106.5069315582514, 1, 34.18292881399975, 400, 184642,                                             184642, 17.141647338867188, 163.70291137695312
685, 1031.6986078470945, 1, 31.40673840799991, 329, 184971,                                             184971, 17.65278434753418, 164.6737518310547
686, 921.4659757316113, 1, 38.486276041000565, 409, 185380,                                             185380, 18.627525329589844, 163.7017364501953
687, 1730.6499251127243, 1, 36.796509114999935, 415, 185795,                                             185795, 18.858169555664062, 163.4894561767578
688, 1769.9319679141045, 1, 37.78058428799977, 425, 186220,                                             186220, 19.354137420654297, 161.8508758544922
689, 1759.5663334280252, 1, 39.68946005700036, 471, 186691,                                             186691, 18.185157775878906, 161.1757354736328
690, 1692.4021952152252, 1, 35.796507611999914, 427, 187118,                                             187118, 18.30838394165039, 161.0113067626953
691, 1913.8700508475304, 1, 25.208841052000025, 310, 187428,                                             187428, 17.875972747802734, 161.59336853027344
692, 2095.987441390753, 1, 20.578757905999737, 268, 187696,                                             187696, 17.977930068969727, 160.6058807373047
693, 1969.2182660996914, 1, 18.23741191299996, 228, 187924,                                             187924, 18.11178207397461, 159.76141357421875
694, 2183.348916530609, 1, 21.343422674000067, 269, 188193,                                             188193, 17.877105712890625, 159.5729522705078
695, 1907.2590813040733, 1, 31.327368448000016, 401, 188594,                                             188594, 17.066871643066406, 160.13023376464844
696, 1901.8099195361137, 1, 26.01605396099967, 330, 188924,                                             188924, 17.54191017150879, 159.30953979492188
697, 1651.6549060940742, 1, 32.81443089299955, 386, 189310,                                             189310, 18.3614501953125, 159.89205932617188
698, 1110.2068879753351, 1, 43.43173564500012, 516, 189826,                                             189826, 16.082691192626953, 158.66856384277344
699, 1555.7191641926765, 1, 36.17290178799976, 436, 190262,                                             190262, 17.49982261657715, 159.06478881835938
700, 1511.2142072319984, 1, 22.67275976000019, 276, 190538,                                             190538, 18.513193130493164, 159.69271850585938
701, 1930.5728546380997, 1, 20.016280118000395, 247, 190785,                                             190785, 17.448057174682617, 157.81520080566406
702, 1853.6009017825127, 1, 26.469870296999943, 324, 191109,                                             191109, 16.84675407409668, 158.27691650390625
703, 483.46089565753937, 1, 45.924275433999355, 600, 191709,                                             191709, 18.043659210205078, 158.97137451171875
704, 1509.907912015915, 1, 26.656798944000002, 355, 192064,                                             192064, 16.839717864990234, 158.9759979248047
705, 1359.1540269851685, 1, 46.6266660780002, 588, 192652,                                             192652, 17.821285247802734, 157.56150817871094
706, 1912.7523432970047, 1, 31.392778189999262, 395, 193047,                                             193047, 16.83129119873047, 157.29299926757812
707, 427.8623553812504, 1, 31.95995236899944, 415, 193462,                                             193462, 17.639978408813477, 157.86953735351562
708, 1265.8603466749191, 1, 26.071807481999713, 315, 193777,                                             193777, 16.829851150512695, 156.9098358154297
709, 1959.9641124606133, 1, 26.70745732999967, 326, 194103,                                             194103, 17.660236358642578, 158.09158325195312
710, -2827.4241886138916, 3, 3.1764870350007186, 31, 194134,                                             194134, 15.956268310546875, 156.1553955078125
711, 2306.7964747548103, 1, 9.885793804000059, 128, 194262,                                             194262, 17.6114444732666, 159.31964111328125
712, 1429.9271385371685, 1, 29.620363820999955, 401, 194663,                                             194663, 17.395246505737305, 157.05506896972656
713, 2227.8125138878822, 1, 15.667068609000125, 191, 194854,                                             194854, 17.972736358642578, 156.67105102539062
714, 2119.179320037365, 1, 19.084917281000344, 248, 195102,                                             195102, 16.78529167175293, 154.76194763183594
715, -3093.1212112903595, 2, 14.815833763000228, 189, 195291,                                             195291, 17.422414779663086, 156.32330322265625
716, 2091.56698513031, 1, 18.25509508400046, 249, 195540,                                             195540, 17.218305587768555, 154.60208129882812
717, -3261.6903168559074, 3, 29.19671157999983, 356, 195896,                                             195896, 17.245840072631836, 154.17893981933594
718, 1705.3654550909996, 1, 19.946548328000063, 271, 196167,                                             196167, 18.70047378540039, 154.46437072753906
719, 1894.6822926998138, 1, 37.385964528999466, 450, 196617,                                             196617, 17.65776824951172, 153.16546630859375
720, -2442.5386568307877, 3, 10.793742509000367, 151, 196768,                                             196768, 17.654172897338867, 153.1029510498047
721, 1884.2692559957504, 1, 15.439128756001082, 198, 196966,                                             196966, 19.279096603393555, 153.25515747070312
722, 1912.6370539665222, 1, 26.131355121000524, 348, 197314,                                             197314, 18.325037002563477, 153.0433349609375
723, 1781.5678642094135, 1, 21.212013480999303, 286, 197600,                                             197600, 17.60063362121582, 154.9152374267578
724, -5026.156065374613, 3, 41.282291491999786, 540, 198140,                                             198140, 16.427804946899414, 153.04690551757812
725, 1836.685272037983, 1, 14.648945850000018, 196, 198336,                                             198336, 16.918249130249023, 152.5611114501953
726, -441.218092918396, 1, 49.12180467399958, 634, 198970,                                             198970, 17.092308044433594, 153.0944061279297
727, -2634.609377503395, 2, 8.00774286700107, 92, 199062,                                             199062, 15.467668533325195, 151.69947814941406
728, -4476.092318475246, 2, 41.40176167900063, 526, 199588,                                             199588, 17.016481399536133, 151.81991577148438
729, 2372.5376487374306, 1, 6.746507318999647, 82, 199670,                                             199670, 17.816587448120117, 153.1934356689453
730, 2056.7553160190582, 1, 20.269960199000707, 262, 199932,                                             199932, 17.386098861694336, 151.60011291503906
731, -3911.214678645134, 2, 15.611662242999955, 204, 200136,                                             200136, 16.717512130737305, 152.09324645996094
732, 2238.9609655439854, 1, 14.645209827000144, 185, 200321,                                             200321, 17.67770767211914, 153.02197265625
733, 1332.4059076607227, 1, 38.49760509100088, 421, 200742,                                             200742, 17.710580825805664, 152.45529174804688
734, -2428.9020615816116, 3, 5.314954548999594, 59, 200801,                                             200801, 13.129899024963379, 149.02540588378906
735, -559.5308024287224, 1, 53.32303902399872, 699, 201500,                                             201500, 16.412660598754883, 151.9327392578125
736, 1885.528077095747, 1, 21.018410794999, 264, 201764,                                             201764, 17.465049743652344, 150.2289581298828
737, 2313.6573489904404, 1, 15.839601367000796, 192, 201956,                                             201956, 17.475526809692383, 150.44769287109375
738, -2275.228513121605, 2, 7.069936298999892, 69, 202025,                                             202025, 16.55230140686035, 149.28125
739, 1335.8344504386187, 1, 21.927449482000156, 280, 202305,                                             202305, 18.22380828857422, 150.22238159179688
740, 1039.7740852832794, 1, 32.00042698799916, 403, 202708,                                             202708, 17.417770385742188, 151.8814697265625
741, 1392.0616852641106, 1, 22.283434653998484, 294, 203002,                                             203002, 18.133243560791016, 149.97518920898438
742, 1343.1603122651577, 1, 26.03796246999991, 331, 203333,                                             203333, 18.066373825073242, 149.06361389160156
743, 1336.709424763918, 1, 43.98020155300037, 566, 203899,                                             203899, 16.05689239501953, 148.47906494140625
744, 2227.1038234829903, 1, 15.594811429000401, 184, 204083,                                             204083, 16.714767456054688, 148.1229248046875
745, 2351.060491412878, 1, 13.851968170001783, 160, 204243,                                             204243, 17.306446075439453, 148.40988159179688
746, -2496.700347006321, 2, 11.978666912000335, 110, 204353,                                             204353, 15.015470504760742, 150.31517028808594
747, 2330.4011913239956, 1, 14.963807019999877, 124, 204477,                                             204477, 16.47511863708496, 148.43992614746094
748, 2166.897459745407, 1, 34.24596622199897, 264, 204741,                                             204741, 14.970290184020996, 148.94329833984375
749, -2366.154137790203, 3, 12.296576195998568, 116, 204857,                                             204857, 18.10016632080078, 151.9156951904297
750, 1843.3201110064983, 1, 26.007839967998734, 261, 205118,                                             205118, 17.263744354248047, 148.44068908691406
751, 1847.4913272559643, 1, 19.327915912999742, 192, 205310,                                             205310, 16.139022827148438, 148.1540985107422
752, 2287.6412263810635, 1, 14.826195939000172, 138, 205448,                                             205448, 17.047962188720703, 148.26205444335938
753, 1944.4880031943321, 1, 23.917406430000483, 236, 205684,                                             205684, 16.051115036010742, 147.42556762695312
754, 2217.0753819197416, 1, 23.64661063099993, 244, 205928,                                             205928, 17.945362091064453, 147.12205505371094
